1회섭취참고량, RAFOS
사과, APPLE
GIS, GIS
HTML, HTML
IP, IP
MAC, MAC
SMS, SMS
URL, URL
가능, PSBLTY
가동, OPRTNG
가맹점, FRCS
가산, ADTN
가산세, ADDTX
가상, VR
가입, JOIN
가족, FAM
간선시설, ATLFCS
값, VL
강사, INSTR
강의, COUR
개교, OPSCH
개별, INDIV
개설, ESTBL
개시, STRT
개업, OPBIZ
개인식별, PRIDTF
개인정보, PRVC
개정, RVSN
개최, HDMT
개통, OPNG
갯수, NUMBER
갱신, UPDT
거래, DLNG
거래처, CNPT
거주, RSD
건강, HLTH
건물, BLDG
건물번호, BNO
건물본번, BMNO
건물부번, BSNO
건수, NOCS
건축, ARCH
건축면적, BDAR
건축물, BDST
건축물대장, BDRG
건폐율, BDCVRT
검사, INSP
검색, SRCH
검수, IGI
검수자, CHCKR
검정, RCGN
검증, VRFC
검토, RVW
검토자, RVWR
게시, PSTG
게시물, PST
게시자, PBLR
게시판, BBS
결과, RSLT
결의, RSLTN
결재, ATRZ
결재자, APRVR
결정, DCSN
결제, STLM
결혼, MRG
경도, LOT
경로, PATH
계급, ECHLN
계약, CTRT
계정, ACNT
계정과목, ACNTL
계좌, BACNT
계좌번호, ACTNO
계좌이체, ACTRSF
계층, LYR
계획, PLAN
고객, CUST
고시, ANCMNT
고용, EMPLY
고유, UNQ
고지, INFRM
공개, RLS
공고, PBANC
공급, SPLY
공동주택, APTCPX
공모, PBCNTS
공부면적, PBRGAR
공사, CSTRN
공시, PBLNT
공시지가, OALP
공용면적, CMAR
공원, PARK
공제, DDC
공지, NTC
과목, SBJCT
과세, TXTN
과세표준, TXBS
과오납금, OVPMNT
과정, CRS
과제, ASMT
과태료, FFNLG
관계, REL
관리, MNG
관리자, MNGR
관서, GVMNFC
관심, ITRST
관측, OBSRVN
관측소, OBSVTR
관할, CMPTNC
교부, DTBN
교육, EDU
교육과정, CRCLM
교육기관, EDNST
교점, NODE
교직, TEACH
구매, PRCHS
구분, SE
구역, ZONE
구우편번호, OZIP
구조물, STRTS
국, TELOFC
국가, NTN
국비, KUKB
국적, NTNLTY
권역, SAREA
권한, AUTHRT
귀속, BLN
규격, SPCFCT
그룹, GROUP
근로자, WRKR
근무, WORK
근무일, WRKDY
근무지, POWK
금액, AMT
금융기관, FNST
기계식, MCNCL
기관, INST
기록자, RCDR
기본, BSC
기안, DRFT
기업, ENT
기원, ORGN
기준, CRTR
기타, ETC
기한, TERM
긴급, EMRG
낙찰, SCSBD
납기, DUDT
납부, PAY
납부자, RTPYR
납세자, TXPR
납품, DLVGDS
내선, EXT
내역, DSCTN
내용, CN
내용연수, SVLF
노선, RTE
노출, EXPSR
농촌, FRM
누리집, HMPG
다량, BULK
다운로드, DWNLD
단가, UNTPRC
단계, STEP
단말기, TRMNL
단속, CRDN
단위, UNIT
단체, GRP
담당, TKCG
담당자, PIC
답변, ANS
답변자, ANSWR
대리인, AGT
대분류, LCLSF
대상, TRGT
대상자, TRPR
대수, CNTOM
대장, LDGR
대지면적, SIAR
대출, LOAN
대출금, LOAN
대표, RPRS
대표자, RPRSV
댓글, CMNT
도로, ROAD
도면, FLRPLN
도서, BOOK
도시, CTY
도엽, MAPSHT
도착, ARVL
동거, CHBTN
동영상, VDO
동의, AGRE
등급, GRD
등기, RG
등록, REG
등록금, TTN
등록자, RGTR
라벨, LBL
로그, LOG
로그아웃, LGT
로그인, LGN
리, LI
마감, DDLN
만기, MTRY
만료, EXPRY
만족도, DGSTFN
말소, ERSR
매립지, RCMLND
매수, BYNG
매출, SLS
메뉴, MENU
메모, MEMO
메시지, MSG
면적, AREA
면제, EXMPTN
면허, LCNS
명, NM
명령, CMD
모델, MDL
모집, CLCT
목적, PRPS
문서, DOC
문제, PRBLM
문항, QITEM
문화재, CLTPTY
물건, THING
물리, PHYS
물품, CMDTY
민원, CVLCPT
민원인, CVLPR
반납, RTN
반려, RJCT
반송, SNDBK
반영, RFLT
반입, CRYN
반출, SHPGOT
반환, GVBK
발급, ISSU
발생, OCRN
발송, SNDNG
발송자, SNDR
발신, DSPTCH
발신자, SNDPTY
발의, PRPSL
발표, PRSNTN
발행, PBLCN
발행자, ISR
방문, VST
방문자, VSTR
방법, MTHD
배달처, DLDTN
배당, ALCTN
배상, CPST
배정, ALTMNT
배포, CRLTN
번호, NO
범주, CTGRY
법, LAW
법원, CT
법인, CORP
법인등록번호, CRNO
법정, STTY
법정동, STDG
법정리, STLI
변경, CHG
변경자, CHNRG
변동, FLCTN
병상, SCKBD
병원, HSPTL
보고, RPT
보고서, RPTP
보도, NSCVRG
보완, SPLMNT
보증, GRNTE
보험, INSRNC
보호자, PRTCR
보훈, BOHUN
본번, MNO
본사, HDOFC
부가가치세, VAT
부과, LEVY
부번, SNO
부상자, INJPSN
부서, DEPT
부속, ANX
부여, GRNT
부제목, SBTTL
분류, CLSF
분석, ANLS
분야, FLD
분할, PRTTN
블록, BLCK
비고, RMRK
비공개, PRVT
비밀번호, PSWD
비상용, EUSE
비율, RT
사건, INCDNT
사고, ACDNT
사망, DTH
사망자, DCSD
사무실, OFC
사업, BIZ
사업비, PJTCO
사업자, BZMN
사업자등록번호, BRNO
사업장, BPLC
사업체, BZENT
사용, USE
사용자, USER
사유, RSN
사이트, SITE
사전, BFFT
사진, PHOTO
사항, MTTR
삭제, DEL
산, MTN
산정, CMPTTN
상담, DSCSN
상세, DTL
상세주소, DADDR
상위, UP
상태, STTS
상품, GDS
상해, ACINS
상호, CONM
상환, RPMT
새창, NPAG
생년월일, BRDT
생산, PRDCTN
생성, CRT
생성자, CREATR
서류, DCMNT
서버, SRVR
서비스, SRVC
서식, TMPLT
선정, SLCTN
선택, CHC
설계, DESIGN
설계자, DSGNR
설립, FNDN
설명, EXPLN
설문, SRVY
설정, STNG
설치, INSTL
성공, SCS
성명, FLNM
세대, HH
세대주, HSHLDR
세목, TXITM
세분류, DCLSF
센터, CNTR
소득, EARN
소득세, INCTX
소멸, EXTSH
소분류, SCLSF
소속, OGDP
소요, REQ
소유, PSN
소유권, OWNSHP
소유자, OWNR
소재지, LCTN
수, CNT
수강, CRS
수납, RCVMT
수납자, RCPN
